Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000454 0 0 0 0 0 0
BGIOSGA000455 133 339 66 33 223 99
BGIOSGA000456 144 228 413 174 206 149
BGIOSGA000457 499 330 547 556 391 483
BGIOSGA000458 78 16 7 39 0 18
BGIOSGA000459 30 6 30 16 0 11
BGIOSGA000460 145 83 98 37 42 151
BGIOSGA000461 183 133 293 227 46 232
BGIOSGA000462 6 12 6 6 9 26
BGIOSGA000463 447 533 532 276 552 306
BGIOSGA000464 32 4 25 23 5 11
BGIOSGA000465 219 108 266 146 94 162
BGIOSGA000466 187 4518 579 457 4851 2666
BGIOSGA000467 0 0 0 0 0 0
BGIOSGA000468 19 4 0 38 0 13
BGIOSGA000469 5 0 0 8 0 8
BGIOSGA000470 0 0 0 0 0 0
BGIOSGA000471 0 0 0 0 0 0
BGIOSGA000472 63 93 18 103 160 119
BGIOSGA000473 0 1 0 0 0 0
BGIOSGA000474 150 126 187 217 99 200
BGIOSGA000475 209 229 271 389 223 346
BGIOSGA000476 38 10 12 125 0 66
BGIOSGA000477 301 528 429 541 591 469
BGIOSGA000478 529 413 325 413 238 189
BGIOSGA000479 114 80 97 115 133 81
BGIOSGA000480 55 33 46 21 33 43
BGIOSGA000481 91 179 471 88 83 245
BGIOSGA000482 863 297 468 465 332 213
BGIOSGA000483 0 0 0 0 0 0
BGIOSGA000484 0 0 0 0 0 0
BGIOSGA000485 40 21 21 26 18 36
BGIOSGA000486 62 82 63 72 130 129
BGIOSGA000487 0 0 0 0 0 0
BGIOSGA000488 63 16 40 65 2 62
BGIOSGA000489 28 2 4 11 1 5
BGIOSGA000490 164 53 42 43 31 25
BGIOSGA000491 4 0 0 2 0 2
BGIOSGA000492 279 134 70 185 346 185
BGIOSGA000493 4 2 3 6 4 4
BGIOSGA000494 252 96 192 122 56 67
BGIOSGA000495 216 191 201 113 206 97
BGIOSGA000496 279 495 519 294 468 321
BGIOSGA000497 233 73 139 124 34 135
BGIOSGA000498 154 565 51 176 589 658
BGIOSGA000499 0 4 4 0 0 2
BGIOSGA000500 128 16 52 150 26 355
